id;word;weight
1;link;53028,08963
2;на;45039,22917
3;работе;1837,540384
4;был;6655,351116
5;полный;903,8433613
6;так;26076,92944
7;каждое;327,6146453
8;закрытие;142,8665069
9;месяца;1104,027422
10;я;47200,03371
11;же;16809,54648
12;свихнусь;24,12923288
13;Коллеги;422,4941107
14;сидят;452,3283369
15;а;38820,20807
16;из;17827,95857
17;за;25276,04737
18;винды;53,34762401
19;не;51669,07939
20;могу;7988,049839
21;post;84,4757317
22;как;31409,38187
23;говорят;3042,854881
24;три;2992,940313
25;года;5033,774511
26;ждут;672,54543
27;...;29357,26903
28;Желаю;1068,665069
29;хорошего;1408,138444
30;полёта;99,47052813
31;удачной;170,7800118
32;буду;8263,525544
33;очень;13400,15866
34;сильно;2860,092475
35;скучать;1126,63962
36;Обновил;228,1086915
37;каким;683,6022007
38;лешим;36,97381275
39;теперь;11654,44503
40;работает;2173,613638
41;Котёнка;146,3947497
42;вчера;4690,740769
43;носик;76,85179336
44;разбила;257,5802978
45;плакала;458,2551796
46;O;5797,712385
47;nika;425,492967
48;Possum;184,4916165
49;Зашли;218,160538
50;он;14612,6782
51;опять;6410,541694
52;прямо;1477,184144
53;физически;139,3261988
54;страдаю;270,5132797
55;когда;13682,5154
56;долго;2545,700159
57;молчит;267,2890416
58;!;40154,19707
59;вообще;10610,86915
60;болею;966,2933127
61;выздоравливаю;36,97381275
62;учимся;251,0769214
63;срать;257,5802978
64;режиме;218,160538
65;amp;1664,168129
66;нон;73,0042502
67;стоп;247,8156991
68;хочу;12642,7869
69;тобой;3018,923171
70;помириться;76,85179336
71;но;22916,86953
72;сука;1987,316488
73;гордая;45,2481658
74;никогда;3967,223268
75;этого;4964,727945
76;сделаю;851,1584695
77;тебя;12570,52126
78;ебет;117,8101389
79;какие;3056,791984
80;меня;26530,08039
81;фотки;1547,881492
82;.;52940,67452
83;про;10120,30814
84;твои;1323,826078
85;молчу;247,8156991
86;ты;21191,35824
87;хоть;5542,464933
88;знаешь;2000,598857
89;ТП;407,4462796
90;выглядят;156,9102636
91;Блин;7974,841125
92;начали;1292,22183
93;сниться;167,3279694
94;сны;602,6642976
95;почти;3312,651826
96;снились;181,07778
97;можно;7601,522213
98;сказать;2451,379143
99;каждый;2896,481252
100;день;13280,72976
101;такое;5507,360447
102;Мне;24092,65356
103;это;28874,83286
104;нравиться;481,8357176
105;твоем;330,7390278
106;месте;2195,276091
107;сначала;1599,277912
108;телек;194,6795666
109;купил;1166,61363
110;плохо;4490,45869
111;боишься;163,8658262
112;значит;3062,759856
113;где;7565,609782
114;?;35287,42691
115;мск;689,1183711
116;хотела;2960,879361
117;Скоро;5123,090693
118;увижу;639,1739753
119;зеленые;135,7734806
120;глаза;1721,630885
121;последний;2119,228565
122;раз;8215,685642
123;Вот;17840,88208
124;да;16903,19706
125;по;24515,96758
126;патриот;270,5132797
127;Чо;1737,642747
128;Бабки;237,9927428
129;КПРФ;562,9013004
130;Навального;1785,479946
131;уже;18588,33227
132;ничего;7699,955176
133;рада;3199,181913
134;им;3082,630472
135;сердца;519,7439492
136;их;7362,400643
137;жалко;2639,150147
138;епт;264,058854
139;оч;1038,166593
140;всех;6819,395785
141;остальных;280,1510909
142;нет;14945,51213
143;Сегодня;15440,51189
144;какой;5801,002532
145;нехороший;49,31766285
146;Телефон;2750,192503
147;наушники;650,3319726
148;опознает;24,12923288
149;блога;132,2079871
150;умудрился;201,4286577
151;шаблон;45,2481658
152;сломать;117,8101389
153;еще;18735,1178
154;думаю;3614,650626
155;моем;1061,056966
156;почта;315,0693839
157;россии;9621,970722
158;поднимется;80,67519661
159;со;8400,647787
160;дна;69,13114556
161;одному;597,0128848
162;напоминает;602,6642976
163;дом;1608,583299
164;Путин;5378,012352
165;делает;1048,352419
166;реалити;41,13516664
167;шоу;1364,916165
168;сейчас;8897,025023
169;модуль;146,3947497
170;будет;13521,37299
171;экономике;177,6547024
172;анфолловил;84,4757317
173;чувак;1493,745023
174;встречаю;128,6293313
175;зиму;853,8072967
176;oppa;358,6540737
177;туда;1991,746252
178;медведь;234,70499
179;чорт;114,1744394
180;сходить;1114,088767
181;кино;1884,779721
182;придется;2079,864388
183;любоваться;61,30163963
184;фильмом;214,8296783
185;уг;121,4308598
186;качестве;829,9107188
187;компе;336,9738326
188;себя;5582,495343
189;чувствовала;198,0582883
190;давно;4502,94362
191;температуру;128,6293313
192;ноута;156,9102636
193;Снаружи;53,34762401
194;что;40037,1493
195;постоянно;1417,704657
196;pain;99,47052813
197;думаешь;741,1309488
198;упаду;84,4757317
199;стула;187,8964045
200;условия;361,7338736
201;будут;3612,749735
202;более;2713,308086
203;маме;909,0788943
204;сделать;3943,139435
205;сюрприз;431,4802004
206;всегда;6699,235441
207;все;29739,87601
208;сутками;88,254543
209;его;11022,38146
210;жду;2383,754296
211;друзьями;735,6883336
212;общаться;762,8281046
